"paper_id","coder","paper_title","operationalization category","operationalization value","text evidence","notes"
139,"Amelia","PRIMAD-LID: a developed framework for computational reproducibility","Scope: coverage","not specified",,"Coverage description is vague/implicit (see note on the classification row)."
140,"Amelia","How to Get There From Here? Barriers and Enablers on the Road Towards Reproducibility in Research","Classification","not specified",,
140,"Amelia","How to Get There From Here? Barriers and Enablers on the Road Towards Reproducibility in Research","Scope: unit","not specified",,
140,"Amelia","How to Get There From Here? Barriers and Enablers on the Road Towards Reproducibility in Research","Scope: coverage","not specified",,
141,"Amelia","Understanding cultural persistence and change: A replication of Giuliano and Nunn (2021)","Classification","binary","""documenting these errors indicates that the original article cannot be replicated"" (p. 24)",
141,"Amelia","Understanding cultural persistence and change: A replication of Giuliano and Nunn (2021)","Scope: unit","claim-level","""For each equation, we first identify and describe the coding discrepancies. We then compute the share of observations affected by each discrepancy in the estimation sample used in each data column"" (p. 24)",
141,"Amelia","Understanding cultural persistence and change: A replication of Giuliano and Nunn (2021)","Scope: coverage","only focal or primary claims","""Specifically, our focus lies on two key aspects: (i) the results reported in the main text and (ii) the estimation of all the six equations using individual-level data."" (p. 23)",
142,"Amelia","Teaching Reproducibility and Replicability While Teaching Econometrics in the Classroom","Classification","not specified",,
142,"Amelia","Teaching Reproducibility and Replicability While Teaching Econometrics in the Classroom","Scope: unit","not specified",,
142,"Amelia","Teaching Reproducibility and Replicability While Teaching Econometrics in the Classroom","Scope: coverage","not specified",,
143,"Amelia","What is Computational Reproducibility?","Classification","ordinal","""Partial reproducibility is a form of limited reproducibility, where only some results are reproducible while others are not… Shallow reproducibility is a form of partial reproducibility where not all steps in a serial analysis with multiple steps are reproducible."" (p. 4)",
143,"Amelia","What is Computational Reproducibility?","Scope: unit","not specified",,
143,"Amelia","What is Computational Reproducibility?","Scope: coverage","not specified",,
144,"Amelia","Investigating the reproducibility of the social and behavioural sciences","Classification","ordinal","""Reproducibility was investigated with three possible outcomes: precise reproducibility, approximate reproducibility and not reproduced."" (p.128)",
144,"Amelia","Investigating the reproducibility of the social and behavioural sciences","Scope: unit","paper-level","""We assessed reproducibility at (1) the claim level and (2) the paper level by weighting claims-level data to the paper level"" (p.127)",
144,"Amelia","Investigating the reproducibility of the social and behavioural sciences","Scope: unit","claim-level","""We assessed reproducibility at (1) the claim level and (2) the paper level by weighting claims-level data to the paper level"" (p.127)",
144,"Amelia","Investigating the reproducibility of the social and behavioural sciences","Scope: coverage","only focal or primary claims","""Within each selected journal, we aimed to extract a single claim from each of five papers per year"" (Methods, p.132)",
144,"Amelia","Investigating the reproducibility of the social and behavioural sciences","Statistical criterion","""Approximate reproducibility was defined a priori as achieved if at least one statistical outcome was not precisely reproduced and all outcomes for a claim were reproduced within ±15% of what was originally reported and, for P values, a difference of no more than 0.05."" (p.128); ""Precise reproducibility was achieved if all of the statistical outcomes of the reproduction were the same as originally reported."" (p.128)",,
145,"Amelia","A Brief Glossary of Terms about Repeatability: Replicability, Robustness, and Reproducibility","Classification","not specified",,
145,"Amelia","A Brief Glossary of Terms about Repeatability: Replicability, Robustness, and Reproducibility","Scope: unit","not specified",,
145,"Amelia","A Brief Glossary of Terms about Repeatability: Replicability, Robustness, and Reproducibility","Scope: coverage","not specified",,
